product_id,sku,product_name,category,subcategory,price,cost,supplier_id,reorder_point,lead_time_days,is_active,is_seasonal,created_at,abc_classification,velocity_category
25,ELEC-CA-025,Camera Bag - White,Electronics,Cameras,276.53,124.44,SUP-GLOBAL-01,150,14,True,False,2024-07-03 12:04:49,A,medium
26,ELEC-CA-026,Camera Bag - White,Electronics,Cameras,60.75,27.34,SUP-BEAUTY-01,75,11,True,False,2025-09-05 12:04:49,C,slow
27,ELEC-CA-027,Digital Camera - Black,Electronics,Cameras,210.27,94.62,SUP-FASHION-02,30,10,True,False,2024-04-29 12:04:49,A,fast
28,ELEC-CA-028,Camera Bag - White,Electronics,Cameras,219.61,98.82,SUP-FASHION-02,100,9,True,False,2025-08-14 12:04:49,A,medium
29,ELEC-CA-029,Camera Bag - Green,Electronics,Cameras,62.49,28.12,SUP-TECH-02,30,13,True,False,2025-03-02 12:04:49,C,medium
30,ELEC-CA-030,Action Camera - Red,Electronics,Cameras,250.54,112.74,SUP-TECH-01,100,8,True,False,2025-10-28 12:04:49,A,fast
31,ELEC-GA-031,Keyboard - Blue,Electronics,Gaming,464.36,208.96,SUP-BEAUTY-01,75,12,True,False,2024-04-09 12:04:49,A,medium
32,ELEC-GA-032,Keyboard - White,Electronics,Gaming,107.1,48.2,SUP-IMPORT-01,30,8,True,False,2025-08-29 12:04:49,B,fast
33,ELEC-GA-033,Headset - Black,Electronics,Gaming,39.32,17.69,SUP-DIRECT-01,150,12,True,False,2024-05-28 12:04:49,C,fast
34,ELEC-GA-034,Gaming Mouse - White,Electronics,Gaming,48.23,21.7,SUP-BEAUTY-01,50,6,True,False,2024-03-26 12:04:49,C,slow
35,ELEC-GA-035,Controller - Green,Electronics,Gaming,303.34,136.5,SUP-BEAUTY-01,30,14,True,False,2024-03-31 12:04:49,A,slow
36,ELEC-GA-036,Chair - Blue,Electronics,Gaming,468.33,210.75,SUP-FASHION-02,75,8,True,False,2025-06-18 12:04:49,A,slow
37,ELEC-GA-037,Headset - Red,Electronics,Gaming,168.35,75.76,SUP-GLOBAL-01,30,6,True,False,2024-04-02 12:04:49,A,medium
38,ELEC-GA-038,Gaming Mouse - Black,Electronics,Gaming,275.75,124.09,SUP-FASHION-01,75,13,True,False,2025-08-21 12:04:49,A,fast
39,ELEC-GA-039,Controller - Blue,Electronics,Gaming,153.22,68.95,SUP-HOME-01,150,12,True,False,2023-12-31 12:04:49,A,medium
40,ELEC-GA-040,Chair - Black,Electronics,Gaming,338.91,152.51,SUP-TECH-02,75,13,True,False,2025-06-15 12:04:49,A,medium
41,ELEC-WE-041,Activity Band - Black,Electronics,Wearables,446.51,200.93,SUP-HOME-01,50,13,True,False,2025-03-29 12:04:49,A,fast
42,ELEC-WE-042,Activity Band - White,Electronics,Wearables,348.44,156.8,SUP-GLOBAL-01,150,9,True,False,2025-09-08 12:04:49,A,medium
43,ELEC-WE-043,Fitness Tracker - Red,Electronics,Wearables,417.23,187.75,SUP-SPORTS-01,30,5,True,False,2024-01-17 12:04:49,A,fast
44,ELEC-WE-044,Activity Band - White,Electronics,Wearables,374.5,168.53,SUP-DIRECT-01,100,13,False,False,2025-08-14 12:04:49,A,slow
45,ELEC-WE-045,Smart Watch - Green,Electronics,Wearables,32.47,14.61,SUP-DIRECT-01,150,10,True,False,2025-06-22 12:04:49,C,medium
46,ELEC-WE-046,Fitness Tracker - Blue,Electronics,Wearables,191.86,86.34,SUP-FASHION-02,75,5,True,False,2023-12-18 12:04:49,A,medium
47,ELEC-WE-047,Fitness Tracker - Blue,Electronics,Wearables,393.36,177.01,SUP-FASHION-01,150,11,True,False,2025-03-02 12:04:49,A,medium
48,ELEC-WE-048,Smart Watch - White,Electronics,Wearables,442.49,199.12,SUP-SPORTS-01,50,5,True,False,2024-09-04 12:04:49,A,medium
49,ELEC-WE-049,Smart Watch - Blue,Electronics,Wearables,92.21,41.49,SUP-TECH-01,100,6,True,False,2025-03-17 12:04:49,B,medium
50,ELEC-WE-050,Smart Watch - Red,Electronics,Wearables,184.58,83.06,SUP-TECH-01,50,8,True,False,2024-09-17 12:04:49,A,fast
51,FASH-T--051,Graphic Tee Green XS,Fashion,T-Shirts,145.36,50.88,SUP-DIRECT-01,75,11,True,True,2024-04-29 12:04:49,A,slow
52,FASH-T--052,Graphic Tee Black XS,Fashion,T-Shirts,132.79,46.48,SUP-IMPORT-01,50,11,True,False,2025-07-11 12:04:49,B,slow
53,FASH-T--053,Tank Top Pink M,Fashion,T-Shirts,112.0,39.2,SUP-IMPORT-01,100,12,True,False,2024-03-19 12:04:49,B,slow
54,FASH-T--054,V-Neck Tee Green XS,Fashion,T-Shirts,109.23,38.23,SUP-DIRECT-01,150,7,True,True,2023-12-14 12:04:49,B,slow
55,FASH-T--055,V-Neck Tee Gray L,Fashion,T-Shirts,19.8,6.93,SUP-IMPORT-01,75,17,True,True,2024-12-27 12:04:49,C,medium
56,FASH-T--056,Tank Top Green XXL,Fashion,T-Shirts,67.18,23.51,SUP-DIRECT-01,75,13,True,False,2024-10-07 12:04:49,C,slow
57,FASH-T--057,V-Neck Tee Navy XL,Fashion,T-Shirts,52.13,18.25,SUP-HOME-01,30,15,True,False,2024-03-16 12:04:49,C,fast
58,FASH-T--058,Tank Top Gray L,Fashion,T-Shirts,71.85,25.15,SUP-DIRECT-01,50,17,True,True,2025-05-10 12:04:49,B,fast
59,FASH-T--059,Cotton T-Shirt Green XL,Fashion,T-Shirts,102.94,36.03,SUP-TECH-02,75,16,True,True,2023-12-12 12:04:49,B,fast
60,FASH-T--060,Graphic Tee Red S,Fashion,T-Shirts,30.63,10.72,SUP-GLOBAL-01,50,7,True,True,2024-07-21 12:04:49,C,medium
61,FASH-JE-061,Relaxed Fit Jeans Navy S,Fashion,Jeans,110.57,38.7,SUP-BEAUTY-01,100,13,True,False,2025-10-25 12:04:49,B,medium
62,FASH-JE-062,Denim Jeans Pink S,Fashion,Jeans,34.62,12.12,SUP-GLOBAL-01,150,18,True,False,2025-06-28 12:04:49,C,medium
63,FASH-JE-063,Relaxed Fit Jeans Blue L,Fashion,Jeans,103.46,36.21,SUP-SPORTS-01,150,15,True,True,2024-02-11 12:04:49,B,slow
64,FASH-JE-064,Distressed Jeans Pink XL,Fashion,Jeans,72.43,25.35,SUP-GLOBAL-01,100,9,True,False,2024-01-17 12:04:49,B,medium
65,FASH-JE-065,Boot Cut Jeans Brown L,Fashion,Jeans,97.74,34.21,SUP-TECH-02,100,11,True,False,2024-11-21 12:04:49,B,medium
66,FASH-JE-066,Boot Cut Jeans Brown XS,Fashion,Jeans,29.37,10.28,SUP-FASHION-01,100,10,True,False,2024-09-08 12:04:49,C,medium
67,FASH-JE-067,Boot Cut Jeans Brown L,Fashion,Jeans,68.21,23.87,SUP-BEAUTY-01,100,10,True,False,2023-11-18 12:04:49,C,fast
68,FASH-JE-068,Denim Jeans Navy L,Fashion,Jeans,76.78,26.87,SUP-BEAUTY-01,75,12,True,True,2024-08-27 12:04:49,B,slow
69,FASH-JE-069,Distressed Jeans Brown XL,Fashion,Jeans,135.69,47.49,SUP-HOME-01,50,14,True,False,2024-11-20 12:04:49,B,fast
70,FASH-JE-070,Relaxed Fit Jeans Blue L,Fashion,Jeans,138.74,48.56,SUP-TECH-01,150,16,True,False,2023-12-22 12:04:49,B,slow
71,FASH-DR-071,Summer Dress White XXL,Fashion,Dresses,70.01,24.5,SUP-FASHION-01,100,20,True,False,2025-03-28 12:04:49,C,slow
72,FASH-DR-072,Maxi Dress Gray M,Fashion,Dresses,116.57,40.8,SUP-BEAUTY-01,75,13,True,False,2025-10-11 12:04:49,B,fast
73,FASH-DR-073,Cocktail Dress Black M,Fashion,Dresses,41.39,14.49,SUP-TECH-01,30,8,True,False,2025-10-10 12:04:49,C,fast
74,FASH-DR-074,Cocktail Dress Blue S,Fashion,Dresses,27.67,9.68,SUP-IMPORT-01,30,17,True,False,2025-02-10 12:04:49,C,slow
75,FASH-DR-075,Casual Dress Blue XL,Fashion,Dresses,95.01,33.25,SUP-FASHION-01,30,18,True,False,2025-10-04 12:04:49,B,slow
76,FASH-DR-076,Casual Dress Navy XXL,Fashion,Dresses,137.12,47.99,SUP-FASHION-02,100,13,True,False,2024-01-27 12:04:49,B,slow
77,FASH-DR-077,Evening Gown White XXL,Fashion,Dresses,118.15,41.35,SUP-TECH-02,150,20,True,False,2025-09-18 12:04:49,B,slow
78,FASH-DR-078,Casual Dress Brown L,Fashion,Dresses,102.61,35.91,SUP-SPORTS-01,150,8,False,False,2024-06-16 12:04:49,B,fast
79,FASH-DR-079,Summer Dress Pink M,Fashion,Dresses,98.98,34.64,SUP-FASHION-01,100,20,True,True,2024-01-03 12:04:49,B,medium
80,FASH-DR-080,Casual Dress Navy XL,Fashion,Dresses,118.45,41.46,SUP-IMPORT-01,100,14,True,True,2025-08-03 12:04:49,B,fast
81,FASH-SH-081,Boots Purple S,Fashion,Shoes,115.07,40.27,SUP-BEAUTY-01,150,16,True,False,2024-12-02 12:04:49,B,slow
82,FASH-SH-082,Sneakers Purple S,Fashion,Shoes,59.68,20.89,SUP-HOME-01,75,11,True,True,2025-01-21 12:04:49,C,medium
83,FASH-SH-083,Loafers Black XL,Fashion,Shoes,142.73,49.96,SUP-BEAUTY-01,50,8,True,True,2023-11-23 12:04:49,B,medium
84,FASH-SH-084,Sandals Purple L,Fashion,Shoes,121.01,42.35,SUP-FASHION-02,75,8,True,False,2023-12-21 12:04:49,B,fast
85,FASH-SH-085,Loafers Gray L,Fashion,Shoes,87.49,30.62,SUP-DIRECT-01,100,12,True,True,2025-01-26 12:04:49,B,medium
86,FASH-SH-086,Boots Green S,Fashion,Shoes,26.89,9.41,SUP-TECH-02,75,10,True,True,2023-11-24 12:04:49,C,medium
87,FASH-SH-087,Sneakers Red S,Fashion,Shoes,113.4,39.69,SUP-DIRECT-01,150,11,True,True,2025-04-15 12:04:49,B,slow
88,FASH-SH-088,Boots Red M,Fashion,Shoes,35.12,12.29,SUP-FASHION-01,150,7,True,True,2024-04-12 12:04:49,C,medium
89,FASH-SH-089,Boots Blue XXL,Fashion,Shoes,131.58,46.05,SUP-TECH-01,30,14,True,False,2024-08-05 12:04:49,B,slow
90,FASH-SH-090,Boots Blue XS,Fashion,Shoes,45.35,15.87,SUP-TECH-02,100,20,True,False,2025-08-16 12:04:49,C,medium
91,FASH-AC-091,Wallet Black S,Fashion,Accessories,30.89,10.81,SUP-TECH-02,75,16,True,False,2024-08-30 12:04:49,C,fast
92,FASH-AC-092,Wallet Navy XL,Fashion,Accessories,41.6,14.56,SUP-GLOBAL-01,100,15,True,False,2024-03-07 12:04:49,C,slow
93,FASH-AC-093,Sunglasses Green XL,Fashion,Accessories,96.94,33.93,SUP-FASHION-02,30,16,True,False,2025-08-08 12:04:49,B,slow
94,FASH-AC-094,Scarf Red S,Fashion,Accessories,87.28,30.55,SUP-BEAUTY-01,30,9,True,False,2025-01-05 12:04:49,B,medium
95,FASH-AC-095,Belt Red M,Fashion,Accessories,108.97,38.14,SUP-TECH-02,100,18,True,True,2024-01-29 12:04:49,B,slow
96,FASH-AC-096,Wallet Red L,Fashion,Accessories,26.07,9.12,SUP-HOME-01,50,10,True,False,2025-05-14 12:04:49,C,medium
97,FASH-AC-097,Hat Navy XXL,Fashion,Accessories,125.39,43.89,SUP-GLOBAL-01,75,21,True,False,2023-11-14 12:04:49,B,medium
98,FASH-AC-098,Sunglasses Green XL,Fashion,Accessories,85.6,29.96,SUP-IMPORT-01,30,14,False,False,2024-12-04 12:04:49,B,medium
99,FASH-AC-099,Wallet Green XS,Fashion,Accessories,22.79,7.98,SUP-IMPORT-01,150,17,True,True,2023-12-12 12:04:49,C,fast
100,FASH-AC-100,Hat Navy XS,Fashion,Accessories,116.84,40.89,SUP-DIRECT-01,100,9,True,True,2025-04-28 12:04:49,B,fast
101,HOME-KI-101,Utensil Set,Home,Kitchen,91.69,36.68,SUP-GLOBAL-01,30,25,True,False,2024-11-23 12:04:49,B,fast
102,HOME-KI-102,Mixing Bowl,Home,Kitchen,136.67,54.67,SUP-BEAUTY-01,75,15,True,False,2025-01-08 12:04:49,B,medium
103,HOME-KI-103,Storage Container,Home,Kitchen,164.2,65.68,SUP-GLOBAL-01,30,27,True,False,2025-02-14 12:04:49,A,medium
104,HOME-KI-104,Mixing Bowl,Home,Kitchen,30.26,12.1,SUP-TECH-01,150,22,True,False,2024-04-23 12:04:49,C,medium
105,HOME-KI-105,Storage Container,Home,Kitchen,87.34,34.94,SUP-SPORTS-01,150,16,True,False,2024-06-07 12:04:49,B,slow
106,HOME-KI-106,Storage Container,Home,Kitchen,153.92,61.57,SUP-DIRECT-01,75,16,True,False,2025-01-09 12:04:49,A,medium
107,HOME-KI-107,Storage Container,Home,Kitchen,177.12,70.85,SUP-TECH-01,30,25,True,False,2024-02-15 12:04:49,A,medium
108,HOME-KI-108,Cutting Board,Home,Kitchen,144.28,57.71,SUP-TECH-01,150,19,True,False,2025-07-27 12:04:49,A,slow
109,HOME-KI-109,Cutting Board,Home,Kitchen,198.51,79.4,SUP-TECH-02,100,13,True,False,2025-05-26 12:04:49,A,medium
110,HOME-KI-110,Storage Container,Home,Kitchen,187.07,74.83,SUP-HOME-01,150,19,True,False,2024-06-23 12:04:49,A,fast
111,HOME-BE-111,Throw Blanket,Home,Bedroom,54.8,21.92,SUP-BEAUTY-01,50,27,True,False,2024-02-25 12:04:49,C,medium
112,HOME-BE-112,Mattress Pad,Home,Bedroom,151.29,60.52,SUP-HOME-01,30,14,True,False,2024-09-01 12:04:49,A,fast
113,HOME-BE-113,Comforter,Home,Bedroom,187.38,74.95,SUP-TECH-01,75,26,True,False,2024-12-29 12:04:49,A,slow
114,HOME-BE-114,Mattress Pad,Home,Bedroom,119.35,47.74,SUP-GLOBAL-01,50,25,True,False,2024-11-11 12:04:49,B,slow
115,HOME-BE-115,Comforter,Home,Bedroom,113.97,45.59,SUP-GLOBAL-01,100,27,True,False,2025-04-20 12:04:49,B,medium
116,HOME-BE-116,Bed Sheet Set,Home,Bedroom,117.79,47.12,SUP-TECH-01,100,17,True,False,2024-07-03 12:04:49,B,slow
117,HOME-BE-117,Throw Blanket,Home,Bedroom,82.13,32.85,SUP-GLOBAL-01,50,30,True,False,2025-06-23 12:04:49,B,slow
118,HOME-BE-118,Mattress Pad,Home,Bedroom,193.35,77.34,SUP-GLOBAL-01,30,20,True,False,2024-07-20 12:04:49,A,fast
119,HOME-BE-119,Pillow,Home,Bedroom,146.71,58.68,SUP-TECH-02,50,23,True,False,2025-02-01 12:04:49,A,slow
120,HOME-BE-120,Comforter,Home,Bedroom,127.67,51.07,SUP-SPORTS-01,30,22,True,False,2024-05-02 12:04:49,B,medium
121,HOME-BA-121,Soap Dispenser,Home,Bath,191.19,76.48,SUP-DIRECT-01,100,30,False,False,2025-08-21 12:04:49,A,slow
122,HOME-BA-122,Shower Curtain,Home,Bath,129.18,51.67,SUP-TECH-02,50,19,True,False,2025-07-22 12:04:49,B,slow
123,HOME-BA-123,Towel Set,Home,Bath,93.19,37.28,SUP-TECH-01,30,19,True,False,2025-09-03 12:04:49,B,medium
124,HOME-BA-124,Bath Mat,Home,Bath,76.82,30.73,SUP-FASHION-02,50,23,True,False,2024-03-30 12:04:49,B,fast
125,HOME-BA-125,Shower Curtain,Home,Bath,40.64,16.26,SUP-BEAUTY-01,150,12,True,False,2025-02-26 12:04:49,C,medium
126,HOME-BA-126,Soap Dispenser,Home,Bath,183.26,73.3,SUP-GLOBAL-01,50,14,True,False,2024-07-17 12:04:49,A,medium
127,HOME-BA-127,Bath Mat,Home,Bath,136.03,54.41,SUP-DIRECT-01,75,24,True,False,2024-08-04 12:04:49,B,slow
128,HOME-BA-128,Bath Mat,Home,Bath,197.63,79.05,SUP-HOME-01,100,19,True,False,2024-12-25 12:04:49,A,slow
129,HOME-BA-129,Shower Curtain,Home,Bath,199.88,79.95,SUP-FASHION-02,30,25,True,False,2024-10-28 12:04:49,A,fast
130,HOME-BA-130,Storage Caddy,Home,Bath,64.81,25.92,SUP-BEAUTY-01,30,19,True,False,2024-03-30 12:04:49,C,medium
131,HOME-DE-131,Wall Art,Home,Decor,182.84,73.14,SUP-FASHION-02,75,25,True,False,2024-11-04 12:04:49,A,medium
132,HOME-DE-132,Picture Frame,Home,Decor,130.23,52.09,SUP-FASHION-01,75,29,True,False,2024-01-27 12:04:49,B,medium
133,HOME-DE-133,Wall Art,Home,Decor,67.32,26.93,SUP-IMPORT-01,30,24,True,False,2025-06-18 12:04:49,C,fast
134,HOME-DE-134,Wall Art,Home,Decor,182.65,73.06,SUP-FASHION-01,100,20,True,False,2024-04-26 12:04:49,A,medium
135,HOME-DE-135,Vase,Home,Decor,109.92,43.97,SUP-HOME-01,50,18,True,False,2024-06-24 12:04:49,B,slow
136,HOME-DE-136,Vase,Home,Decor,151.34,60.54,SUP-GLOBAL-01,30,20,True,False,2025-06-08 12:04:49,A,medium
137,HOME-DE-137,Picture Frame,Home,Decor,173.15,69.26,SUP-SPORTS-01,150,22,True,False,2024-09-21 12:04:49,A,medium
138,HOME-DE-138,Wall Art,Home,Decor,58.78,23.51,SUP-SPORTS-01,100,13,True,False,2023-12-12 12:04:49,C,slow
139,HOME-DE-139,Vase,Home,Decor,120.24,48.1,SUP-TECH-02,75,30,True,False,2024-07-05 12:04:49,B,medium
140,HOME-DE-140,Wall Art,Home,Decor,126.95,50.78,SUP-IMPORT-01,75,27,True,False,2025-08-27 12:04:49,B,slow
141,HOME-ST-141,Closet System,Home,Storage,182.6,73.04,SUP-TECH-02,100,19,True,False,2025-09-22 12:04:49,A,slow
142,HOME-ST-142,Shelving Unit,Home,Storage,199.22,79.69,SUP-FASHION-02,30,13,True,False,2025-06-14 12:04:49,A,medium
143,HOME-ST-143,Closet System,Home,Storage,95.1,38.04,SUP-IMPORT-01,100,27,True,False,2025-05-25 12:04:49,B,medium
144,HOME-ST-144,Closet System,Home,Storage,133.75,53.5,SUP-BEAUTY-01,150,25,True,False,2025-01-17 12:04:49,B,medium
145,HOME-ST-145,Storage Bin,Home,Storage,140.53,56.21,SUP-GLOBAL-01,100,16,True,False,2024-10-24 12:04:49,B,medium
146,HOME-ST-146,Storage Bin,Home,Storage,196.34,78.54,SUP-SPORTS-01,150,21,True,False,2025-01-21 12:04:49,A,fast
147,HOME-ST-147,Organizer,Home,Storage,193.9,77.56,SUP-FASHION-02,30,24,True,False,2024-02-27 12:04:49,A,medium
148,HOME-ST-148,Storage Bin,Home,Storage,17.71,7.08,SUP-FASHION-01,50,20,True,False,2025-04-03 12:04:49,C,medium
149,HOME-ST-149,Storage Bin,Home,Storage,167.33,66.93,SUP-IMPORT-01,50,27,True,False,2025-03-06 12:04:49,A,fast
150,HOME-ST-150,Shelving Unit,Home,Storage,156.68,62.67,SUP-HOME-01,30,29,True,False,2025-06-04 12:04:49,A,medium
151,SPOR-FI-151,Resistance Bands,Sports,Fitness,167.58,70.38,SUP-TECH-02,50,19,True,False,2025-10-15 12:04:49,A,slow
152,SPOR-FI-152,Dumbbells,Sports,Fitness,239.52,100.6,SUP-SPORTS-01,150,10,False,False,2025-06-23 12:04:49,A,medium
153,SPOR-FI-153,Exercise Ball,Sports,Fitness,163.51,68.67,SUP-GLOBAL-01,30,18,True,False,2024-03-02 12:04:49,A,fast
154,SPOR-FI-154,Yoga Mat,Sports,Fitness,142.18,59.72,SUP-TECH-01,150,10,True,True,2023-12-26 12:04:49,B,medium
155,SPOR-FI-155,Jump Rope,Sports,Fitness,98.87,41.53,SUP-TECH-01,30,17,True,True,2024-08-20 12:04:49,B,slow
156,SPOR-FI-156,Yoga Mat,Sports,Fitness,153.2,64.34,SUP-TECH-02,30,14,True,False,2025-06-23 12:04:49,A,medium
157,SPOR-FI-157,Dumbbells,Sports,Fitness,191.8,80.56,SUP-SPORTS-01,150,16,True,False,2025-01-02 12:04:49,A,medium
158,SPOR-FI-158,Exercise Ball,Sports,Fitness,157.6,66.19,SUP-TECH-02,30,13,True,False,2024-04-14 12:04:49,A,slow
159,SPOR-FI-159,Resistance Bands,Sports,Fitness,135.86,57.06,SUP-SPORTS-01,100,10,True,False,2025-07-25 12:04:49,B,medium
160,SPOR-FI-160,Dumbbells,Sports,Fitness,134.91,56.66,SUP-SPORTS-01,75,17,True,False,2024-07-02 12:04:49,B,slow
161,SPOR-OU-161,Hiking Backpack,Sports,Outdoor,38.27,16.07,SUP-BEAUTY-01,30,8,True,True,2025-06-19 12:04:49,C,medium
162,SPOR-OU-162,Flashlight,Sports,Outdoor,29.27,12.29,SUP-SPORTS-01,150,15,True,False,2023-12-19 12:04:49,C,medium
163,SPOR-OU-163,Water Bottle,Sports,Outdoor,262.01,110.04,SUP-HOME-01,30,18,True,False,2024-03-18 12:04:49,A,medium
164,SPOR-OU-164,Flashlight,Sports,Outdoor,73.27,30.77,SUP-FASHION-02,100,17,True,False,2024-04-09 12:04:49,B,medium
165,SPOR-OU-165,Sleeping Bag,Sports,Outdoor,45.09,18.94,SUP-FASHION-02,150,11,True,True,2024-02-02 12:04:49,C,fast
166,SPOR-OU-166,Flashlight,Sports,Outdoor,206.39,86.68,SUP-IMPORT-01,30,15,True,True,2025-01-30 12:04:49,A,slow
167,SPOR-OU-167,Hiking Backpack,Sports,Outdoor,63.96,26.86,SUP-SPORTS-01,75,18,True,False,2025-06-06 12:04:49,C,medium
168,SPOR-OU-168,Flashlight,Sports,Outdoor,201.32,84.55,SUP-TECH-01,50,8,True,False,2024-10-10 12:04:49,A,fast
169,SPOR-OU-169,Water Bottle,Sports,Outdoor,142.65,59.91,SUP-HOME-01,75,9,True,True,2024-03-28 12:04:49,B,fast
170,SPOR-OU-170,Flashlight,Sports,Outdoor,36.47,15.32,SUP-FASHION-01,50,7,True,False,2025-08-08 12:04:49,C,medium
171,SPOR-TE-171,Volleyball,Sports,Team Sports,139.62,58.64,SUP-IMPORT-01,100,13,True,False,2024-05-24 12:04:49,B,medium
172,SPOR-TE-172,Basketball,Sports,Team Sports,111.41,46.79,SUP-IMPORT-01,75,8,True,False,2025-09-14 12:04:49,B,fast
173,SPOR-TE-173,Soccer Ball,Sports,Team Sports,125.84,52.85,SUP-TECH-01,30,16,True,True,2025-06-12 12:04:49,B,medium
174,SPOR-TE-174,Volleyball,Sports,Team Sports,95.36,40.05,SUP-GLOBAL-01,30,8,True,False,2024-10-06 12:04:49,B,medium
175,SPOR-TE-175,Tennis Racket,Sports,Team Sports,214.66,90.16,SUP-SPORTS-01,150,15,True,True,2025-09-17 12:04:49,A,medium
176,SPOR-TE-176,Baseball Glove,Sports,Team Sports,17.4,7.31,SUP-IMPORT-01,75,8,True,False,2024-01-14 12:04:49,C,fast
177,SPOR-TE-177,Baseball Glove,Sports,Team Sports,95.38,40.06,SUP-SPORTS-01,30,13,True,True,2024-07-16 12:04:49,B,medium
178,SPOR-TE-178,Volleyball,Sports,Team Sports,37.38,15.7,SUP-FASHION-02,30,20,True,False,2025-08-11 12:04:49,C,medium
179,SPOR-TE-179,Baseball Glove,Sports,Team Sports,262.71,110.34,SUP-FASHION-02,75,18,True,False,2024-05-26 12:04:49,A,slow
180,SPOR-TE-180,Basketball,Sports,Team Sports,164.81,69.22,SUP-SPORTS-01,75,10,True,True,2025-06-01 12:04:49,A,fast
181,SPOR-WA-181,Snorkel Set,Sports,Water Sports,41.61,17.48,SUP-FASHION-01,50,11,True,True,2023-12-29 12:04:49,C,medium
182,SPOR-WA-182,Swim Goggles,Sports,Water Sports,63.02,26.47,SUP-GLOBAL-01,100,19,True,True,2024-07-28 12:04:49,C,fast
183,SPOR-WA-183,Diving Mask,Sports,Water Sports,197.18,82.82,SUP-SPORTS-01,75,16,True,False,2024-08-04 12:04:49,A,slow
184,SPOR-WA-184,Life Jacket,Sports,Water Sports,241.34,101.36,SUP-SPORTS-01,30,16,True,False,2024-07-25 12:04:49,A,slow
